"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_partial_env_returns_configured_false","tests.component","Tue Apr 28 13:35:15 UTC 2026","passed","Tue Apr 28 13:35:15 UTC 2026","TestGetConfig","test_server_config","",""
"","1","test_dedup_different_users_same_week_both_kept","tests.unit","Tue Apr 28 13:34:56 UTC 2026","passed","Tue Apr 28 13:34:56 UTC 2026","","test_dau_normalizer","",""
"Username is persisted in localStorage when submit succeeds.","150","test_username_saved_to_localstorage_after_submit[chromium]","tests.e2e","Tue Apr 28 13:35:09 UTC 2026","passed","Tue Apr 28 13:35:09 UTC 2026","","test_dau_survey_ui","",""
"","0","test_get_story_points_custom_field","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_metrics","",""
"DAU_NORMALIZED_DIR resolves to <DAU_PATH>/normalized when DAU_PATH is set.","2","test_dau_path_env_var_drives_normalized_dir","tests.unit","Tue Apr 28 13:34:56 UTC 2026","passed","Tue Apr 28 13:34:56 UTC 2026","","test_config","",""
"","1","test_parse_args_clean_flag","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_main_helpers","",""
"Non-credential env vars (JIRA_BOARD_ID, etc.) must survive credential updates.","1","test_preserves_unrelated_optional_env_vars","tests.component","Tue Apr 28 13:35:14 UTC 2026","passed","Tue Apr 28 13:35:14 UTC 2026","TestWriteEnvFields","test_server_config","",""
"Save stays disabled when token is empty even after a successful test (all fields required).","236","test_save_not_enabled_when_token_missing_despite_success[chromium]","tests.e2e","Tue Apr 28 13:35:18 UTC 2026","passed","Tue Apr 28 13:35:18 UTC 2026","","test_e2e_connection","",""
"Clicking Save sends the correct JIRA_URL, JIRA_EMAIL, JIRA_API_TOKEN to POST /api/config.","388","test_save_posts_correct_payload[chromium]","tests.e2e","Tue Apr 28 13:35:18 UTC 2026","passed","Tue Apr 28 13:35:19 UTC 2026","","test_e2e_connection","",""
"","0","test_setup_logging_creates_log_file","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_logging_setup","",""
"When board_statuses is None the default status_mapping is preserved.","1","test_build_schema_from_fields_none_board_statuses_uses_defaults","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_schema","",""
"","0","test_build_metrics_dict_has_all_expected_keys","tests.component","Tue Apr 28 13:34:54 UTC 2026","passed","Tue Apr 28 13:34:54 UTC 2026","","test_contracts","",""
"_build_jql_from_params() produces correct JQL clauses for each param combination.","7","test_build_jql_from_params[params2-""Team[Team]"" = T1-None]","tests.unit","Tue Apr 28 13:34:56 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_filter_handlers","",""
"","1","test_create_client_uses_config_values","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_jira_client","",""
"POST /api/fetch-cert for an unreachable host returns 200 with ok=False.","5","test_fetch_cert_unreachable_host_returns_error","tests.component","Tue Apr 28 13:35:06 UTC 2026","passed","Tue Apr 28 13:35:06 UTC 2026","","test_server","",""
"","2","test_board_id_numeric","tests.unit","Tue Apr 28 13:34:56 UTC 2026","passed","Tue Apr 28 13:34:56 UTC 2026","","test_config","",""
"Delete button is disabled when Default_Jira_Cloud is selected.","156","test_schema_delete_button_disabled_for_default[chromium]","tests.e2e","Tue Apr 28 13:35:34 UTC 2026","passed","Tue Apr 28 13:35:35 UTC 2026","","test_e2e_schema_ui","",""
"","29","test_ai_assistance_chart_canvas_present","tests.component","Tue Apr 28 13:34:54 UTC 2026","passed","Tue Apr 28 13:34:54 UTC 2026","","test_report_html","",""
"","0","test_compute_velocity_no_issues","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_metrics","",""
"","1","test_is_done[-False]","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_metrics","",""
"POST with missing in_progress_statuses returns 400.","8","test_post_schema_requires_status_mapping_lists","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_server_handlers","",""
"Generate tab shows metric toggle checkboxes, all checked by default (RG-MT-001).","404","test_metric_toggle_checkboxes_visible[chromium]","tests.e2e","Tue Apr 28 13:35:54 UTC 2026","passed","Tue Apr 28 13:35:54 UTC 2026","","test_e2e_ui","",""
"","29","test_html_dau_section_hidden_when_visibility_false","tests.component","Tue Apr 28 13:34:54 UTC 2026","passed","Tue Apr 28 13:34:54 UTC 2026","","test_dau_report","",""
